NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT03682068,"Study of Durvalumab Given With Chemotherapy, Durvalumab in Combination With Tremelimumab Given With Chemotherapy, or Chemotherapy in Patients With Unresectable Urothelial Cancer",https://clinicaltrials.gov/study/NCT03682068,Active Not Recruiting,Unresectable Locally Advanced Urothelial Cancer|Metastatic Urothelial Cancer,DRUG: Durvalumab|DRUG: Tremelimumab|DRUG: Cisplatin + Gemcitabine|DRUG: Carboplatin + Gemcitabine,AstraZeneca,Not available,INTERVENTIONAL
NCT03682042,Comparative Outcomes Related to Delivery-room Cord Milking In Low-resourced Kountries Developmental Follow Up,https://clinicaltrials.gov/study/NCT03682042,Recruiting,Hypoxic-Ischemic Encephalopathy|Birth Asphyxia,OTHER: Umbilical Cord Milking,Nemours Children's Clinic,"Sharp HealthCare|Thomas Jefferson University|University of California, San Diego|St. Louis University|KLE Academy of Higher Education and Research (Deemed- to- be-University), Jawaharlal Nehru Medical College (JNMC), Belagavi, India|Government Medical College, Nagpur|Daga Memorial Maternity and Children's Hospital, Nagpur, India|Mahatma Gandhi Institute of Medical Sciences/ Kasturba Hospital, Wardha, India|Karnataka Institute of Medical Sciences, Hubbali, India|All India Institute of Medical Sciences|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|Indira Gandhi Government Medical College & Hospital, Nagpur, India|Pimpri Chinchwad Municipal Corporation's Post-Graduate Institute, Yashwantrao Chavan Memorial Hospital, Pune, India",INTERVENTIONAL
NCT03681548,A Study of Doxorubicin Hydrochloride Liposome Injection in Subjects With Ovarian Cancer.,https://clinicaltrials.gov/study/NCT03681548,Completed,Ovarian Cancer Recurrent,DRUG: Doxorubicin Hydrochloride Liposome Injection,"Ayana Pharma Ltd.,",Lambda Therapeutic Research Ltd.,INTERVENTIONAL
NCT03681314,Umbilical Cord Milking in Neonates Who Are Depressed at Birth-Developmental Follow Up (MIDAB-FU),https://clinicaltrials.gov/study/NCT03681314,Withdrawn,Hypoxic-Ischemic Encephalopathy|Birth Asphyxia,OTHER: Umbilical Cord Milking,Nemours Children's Clinic,"NPKSIMS, Nagpur, India|Sharp HealthCare",INTERVENTIONAL
NCT03677596,A Study Of Two Inotuzumab Ozogamicin Doses in Relapsed/ Refractory Acute Lymphoblastic Leukemia Transplant Eligible Patients,https://clinicaltrials.gov/study/NCT03677596,Completed,Leukemia|Precursor b-Cell Lymphoblastic Leukemia-Lymphoma|ACUTE LYMPHOBLASTIC LEUKEMIA,DRUG: inotuzumab ozogamicin-dose level 2|DRUG: Inotuzumab ozogamicin-dose level 1,Pfizer,Not available,INTERVENTIONAL
NCT03677297,"""Efficacy Of 1.2% Rosuvastatin Gel In The Management Of Infrabony Defects""",https://clinicaltrials.gov/study/NCT03677297,Completed,Adult Periodontitis,DRUG: Rosuvastatin,Dr. D. Y. Patil Dental College & Hospital,Not available,INTERVENTIONAL
NCT03675815,Body Composition Sub-study of the D2EFT Trial,https://clinicaltrials.gov/study/NCT03675815,Completed,HIV Infections,DRUG: Darunavir (DRV) 800 milligram (MG) Oral Tablet|DRUG: Ritonavir 100 MG Oral Tablet|DRUG: N(t)RTIs|DRUG: Dolutegravir 50 MG Oral Tablet|DRUG: TDF 300 MG Oral Tablet|DRUG: 3TC 300 MG Oral Tablet|DRUG: FTC 200 MG Oral Cap,Kirby Institute,Not available,INTERVENTIONAL
NCT03675698,Radiological Images for Nasotracheal Tube Size Estimation,https://clinicaltrials.gov/study/NCT03675698,Completed,Nasotracheal Tube Passage Through Nasal Cavity,OTHER: Nasotracheal Intubation,"Rajiv Gandhi Cancer Institute & Research Center, India",Not available,OBSERVATIONAL
NCT03673306,Safety of Pregnancy in BRCA Mutated Breast Cancer Patients,https://clinicaltrials.gov/study/NCT03673306,Completed,Breast Cancer,OTHER: Clinical outcomes,Jules Bordet Institute,Not available,OBSERVATIONAL
NCT03671044,A Study to Evaluate the Efficacy and Safety of Nanosomal Docetaxel Lipid Suspension in Triple Negative Breast Cancer Patients,https://clinicaltrials.gov/study/NCT03671044,Recruiting,Triple Negative Breast Cancer,DRUG: Nanosomal Docetaxel Lipid Suspension (75 mg/m2)|DRUG: Nanosomal Docetaxel Lipid Suspension (100 mg/m2)|DRUG: Taxotere® (100 mg/m2),Jina Pharmaceuticals Inc.,"Intas Pharmaceuticals, Ltd.|Lambda Therapeutic Research Ltd.",INTERVENTIONAL
NCT03670810,A Study of Lasmiditan (LY573144) Over Four Migraine Attacks,https://clinicaltrials.gov/study/NCT03670810,Completed,Migraine,DRUG: Lasmiditan|DRUG: Placebo,Eli Lilly and Company,Not available,INTERVENTIONAL
NCT03669497,Hypo-Fractionated Radiotherapy in Breast Cancer,https://clinicaltrials.gov/study/NCT03669497,Completed,Breast Cancer|Advanced Breast Cancer|Metastatic Breast Cancer,RADIATION: Hypo fractionated whole breast radiotherapy,Tata Medical Center,Not available,INTERVENTIONAL
NCT03669432,To Study the Impact of Radiation Treatment After Surgery in Patient With Locally Advanced Thyroid Cancer.,https://clinicaltrials.gov/study/NCT03669432,Active Not Recruiting,Thyroid Cancer Stage IV|Radiation Toxicity,RADIATION: Intensity Modulated Radiotherapy|PROCEDURE: Surgery alone,Tata Memorial Hospital,Department of Atomic Energy,INTERVENTIONAL
NCT03668860,India Dexamethasone and Betamethasone,https://clinicaltrials.gov/study/NCT03668860,Completed,Preterm Birth|Antenatal Corticosteroids,DRUG: Dexamethasone 4 mg/ml|DRUG: Betamethasone 4 mg/ml|DRUG: Celestone Soluspan 6Mg/Ml Suspension for Injection|DRUG: Dexamethasone Oral Tablet|DRUG: Betamethasone Oral Tablet,"Children's Hospital Medical Center, Cincinnati",Bill and Melinda Gates Foundation|Syngene,INTERVENTIONAL
NCT03668834,"Comparing Recipient Site Preparation Using Dermabrasion, Dermaroller and Liquid Nitrogen Induced Blister in Non Cultured Epidermal Cell Suspension in Stable Vitiligo",https://clinicaltrials.gov/study/NCT03668834,Unknown,Vitiligo,PROCEDURE: Dermabrasion with NCES|PROCEDURE: Dermaroller with NCES|PROCEDURE: Liquid nitrogen induced blister with NCES,"Post Graduate Institute of Medical Education and Research, Chandigarh",Not available,INTERVENTIONAL
NCT03667352,Efficacy Of Scalp Block And Ultrasound Guided TAP Block With Clonidine As Adjuvant To Ropivacaine Versus Intravenous Fentanyl On Intraoperative Hemodynamics And Perioperative Analgesia In Abdominal Bone Flap Cranioplasties,https://clinicaltrials.gov/study/NCT03667352,Completed,Condition: Abdominal Bone Flap Cranioplasty; Focus of Study: Perioperative Analgesia,PROCEDURE: Unilateral Scalp Block|PROCEDURE: Transversus abdominis plane block|DRUG: Intravenous Fentanyl,Dhritiman Chakrabarti,Not available,INTERVENTIONAL
NCT03659539,Quality of Recovery After Robotic Surgery,https://clinicaltrials.gov/study/NCT03659539,Completed,Patients Undergoing Robotic Surgery,DRUG: PROPOFOL|DRUG: Desflurane,"Nitin Sethi, DNB",Not available,INTERVENTIONAL
NCT03658369,Effect of LANCONONE in Weight-bearing Joint Pain,https://clinicaltrials.gov/study/NCT03658369,Completed,Osteo Arthritis Knee,DIETARY_SUPPLEMENT: Lanconone®|DIETARY_SUPPLEMENT: Methyl crystalline cellulose,Vedic Lifesciences Pvt. Ltd.,Not available,INTERVENTIONAL
NCT03658187,Assessment of the Acute Effect of IP,https://clinicaltrials.gov/study/NCT03658187,Completed,Deficiency Growth Hormone,DIETARY_SUPPLEMENT: Placebo|DIETARY_SUPPLEMENT: IP,Vedic Lifesciences Pvt. Ltd.,Not available,INTERVENTIONAL
NCT03657394,Comparative Outcomes Related to Delivery-room Cord Milking In Low-resourced Kountries,https://clinicaltrials.gov/study/NCT03657394,Active Not Recruiting,Hypoxic-Ischemic Encephalopathy|Birth Asphyxia,OTHER: Umbilical cord milking,Nemours Children's Clinic,"Sharp HealthCare|Thomas Jefferson University|University of San Diego|St. Louis University|Jawaharlal Nehru Medical College|Daga Memorial Maternity and Children's Hospital, Nagpur, India|Mahatma Gandhi Institue of Medical Sciences, Wardha, India|Karnataka Institue of Medical Sciences, Hubbali, India|Jawaharlal Institute of Postgraduate Medical Education & Research|All India Institute of Medical Sciences|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|Indira Gandhi Government Medical College & Hospital, Nagpur, India|Pimpri Chinchwad Municipal Corporation's Post-Graduate Institute, Yashwantrao Chavan Memorial Hospital, Pune, India|Government Medical College, Nagpur",INTERVENTIONAL
NCT03656003,A Study Evaluating the Diagnostic Yield and Safety of the ProCore vs Conventional EBUS-TBNA Needle in Subjects With Suspected Sarcoidosis,https://clinicaltrials.gov/study/NCT03656003,Completed,Sarcoidosis,DEVICE: Procore biopsy needle|DEVICE: Conventional biopsy needle,"Post Graduate Institute of Medical Education and Research, Chandigarh",Not available,INTERVENTIONAL
NCT03655236,PROSEEK: A Phase 2 Study In Early Parkinson's Disease Patients Evaluating The Safety And Efficacy Of Abl Tyrosine Kinase Inhibition Using K0706,https://clinicaltrials.gov/study/NCT03655236,Terminated,Early Parkinson Disease,DRUG: K0706|DRUG: K0706|OTHER: placebo,Sun Pharma Advanced Research Company Limited,Not available,INTERVENTIONAL
NCT03654339,Microsurgical vs Macro Surgical Approach for Grade II Gingival Recessions Employing Laterally Repositioned Flap,https://clinicaltrials.gov/study/NCT03654339,Completed,"Gingival Recession, Localized",PROCEDURE: root coverage,Panineeya Mahavidyalaya Institute of Dental Sciences & Research Centre,Not available,INTERVENTIONAL
NCT03651908,Comparison Between Bioactive Silica Graft Plus Platelet Rich Fibrin and Only Platelet Rich Fibrin Graft in Intrabony Defects With Diabetes,https://clinicaltrials.gov/study/NCT03651908,Completed,Intrabony Periodontal Defect,PROCEDURE: Conventional Flap Surgery,Panineeya Mahavidyalaya Institute of Dental Sciences & Research Centre,Not available,INTERVENTIONAL
NCT03650114,"Long-term Safety, Tolerability and Effectiveness Study of Ofatumumab in Patients With Relapsing MS",https://clinicaltrials.gov/study/NCT03650114,Active Not Recruiting,Relapsing Multiple Sclerosis,"BIOLOGICAL: Ofatumumab|BIOLOGICAL: Tetanus toxoid (TT) containing vaccine (Td, Tdap)|BIOLOGICAL: 13-valent pneumococcal conjugate vaccine (13-PCV)|BIOLOGICAL: 23-valent pneumococcal polysaccharide vaccine (23-PPV)|BIOLOGICAL: Seasonal Quadrivalent influenza vaccine|BIOLOGICAL: Keyhole limpet hemocyanin (KLH) neo-antigen",Novartis Pharmaceuticals,Not available,INTERVENTIONAL
NCT03645642,To Study the Safety and Efficacy of Midodrine With Albumin Versus Albumin Alone in Hepatic Hydrothorax,https://clinicaltrials.gov/study/NCT03645642,Completed,Hepatic Hydrothorax,DRUG: Midodrine|BIOLOGICAL: Albumin|DRUG: Diuretics,"Institute of Liver and Biliary Sciences, India",Not available,INTERVENTIONAL
NCT03645044,Towards a Functional Cure for HBV - The COMMIT Cohort Study,https://clinicaltrials.gov/study/NCT03645044,Active Not Recruiting,Hiv|HBV Coinfection,Not available,University of Melbourne,"National Health and Medical Research Council, Australia|The University of Western Australia|University of Adelaide|The HIV Netherlands Australia Thailand Research Collaboration|University of Malaya|YR Gaitonde Centre for AIDS Research and Education|Melbourne Health",OBSERVATIONAL
NCT03641560,A Safety and Efficacy Study of Enzalutamide in Indian Patients With Progressive Metastatic Castration-Resistant Prostate Cancer (mCRPC) Previously Treated With Docetaxel-Based Chemotherapy,https://clinicaltrials.gov/study/NCT03641560,Completed,Metastatic Castration Resistant Prostate Cancer,DRUG: Enzalutamide|DRUG: Androgen deprivation therapy (ADT),Astellas Pharma Inc,Not available,INTERVENTIONAL
NCT03639636,is the Sclerostin Marker of Chronic Periodontitis,https://clinicaltrials.gov/study/NCT03639636,Completed,Periodontitis,OTHER: non surgical and surgical periodontal therapy,Panineeya Mahavidyalaya Institute of Dental Sciences & Research Centre,Not available,INTERVENTIONAL
NCT03638622,Low-cost Enabling Technology for Image-guided Photodynamic Therapy (PDT) of Oral Cancer Cancer.,https://clinicaltrials.gov/study/NCT03638622,Completed,Oral Cancer,COMBINATION_PRODUCT: Photodynamic Therapy,Massachusetts General Hospital,Jawaharlal Nehru Medical College|National Cancer Institute (NCI),INTERVENTIONAL
NCT03636659,Steady State Global Bioequivalence Study of Amphotericin B Liposome for Injection 50 mg/ Vial in Fed Condition,https://clinicaltrials.gov/study/NCT03636659,Completed,Visceral Leishmaniasis,DRUG: Amphotericin B Liposome|DRUG: AmBisome (Amphotericin B) Liposome,Aurobindo Pharma Ltd,Axis Clinicals Limited,INTERVENTIONAL
NCT03633916,Impact of a Classroom-based Sensitization Intervention on Demand for Mental Health Care Among Adolescents in India,https://clinicaltrials.gov/study/NCT03633916,Completed,Help-Seeking Behavior,BEHAVIORAL: Classroom sensitization session|BEHAVIORAL: School-level sensitization activities,Sangath,Harvard Medical School (HMS and HSDM)|London School of Hygiene and Tropical Medicine,INTERVENTIONAL
NCT03633708,A Trial of Etelcalcetide in Pediatric Participants With Secondary Hyperparathyroidism and Chronic Kidney Disease on Hemodialysis,https://clinicaltrials.gov/study/NCT03633708,Recruiting,Secondary Hyperparathyroidism|Chronic Kidney Disease,DRUG: Etelcalcetide|OTHER: Standard of Care,Amgen,Not available,INTERVENTIONAL
NCT03633279,Treatment of Sarcopenia Improves the Muscle Mass and Muscle Strength of Patients With Liver Cirrhosis-Child C,https://clinicaltrials.gov/study/NCT03633279,Active Not Recruiting,Liver Cirrhosis,DRUG: Branched chain amino acid|DRUG: Placebo,Dayanand Medical College and Hospital,Not available,INTERVENTIONAL
NCT03631927,Second Survey of Intensive Care in India,https://clinicaltrials.gov/study/NCT03631927,Completed,Critical Illness,OTHER: Observation,Indian Society of Critical Care Medicine,Not available,OBSERVATIONAL
NCT03631199,Study of Efficacy and Safety of Pembrolizumab Plus Platinum-based Doublet Chemotherapy With or Without Canakinumab in Previously Untreated Locally Advanced or Metastatic Non-squamous and Squamous NSCLC Subjects,https://clinicaltrials.gov/study/NCT03631199,Terminated,Non-small Cell Lung Cancer,DRUG: canakinumab|DRUG: canakinumab-matching placebo|DRUG: pembrolizumab|DRUG: carboplatin|DRUG: cisplatin|DRUG: paclitaxel|DRUG: nab-paclitaxel|DRUG: pemetrexed,Novartis Pharmaceuticals,Not available,INTERVENTIONAL
NCT03630471,Effectiveness of a Problem-solving Intervention for Common Adolescent Mental Health Problems in India,https://clinicaltrials.gov/study/NCT03630471,Completed,"Mental Health Issue (E.G., Depression, Psychosis, Personality Disorder, Substance Abuse)",BEHAVIORAL: PRIDE 'Step 1' problem-solving intervention|BEHAVIORAL: Enhanced usual care,Sangath,Harvard Medical School (HMS and HSDM)|London School of Hygiene and Tropical Medicine,INTERVENTIONAL
NCT03629951,A Study for Schizophrenia Relapse Prediction,https://clinicaltrials.gov/study/NCT03629951,Completed,Schizophrenia,DRUG: Oral Antipsychotics (OAP),"Janssen Research & Development, LLC",Not available,OBSERVATIONAL
NCT03629600,Trial of Aggressive Hydration Versus Rectal Indomethacin for Prevention of Post-ERCP Pancreatitis,https://clinicaltrials.gov/study/NCT03629600,Completed,Post-ERCP Acute Pancreatitis,DRUG: Lactated Ringer|DRUG: Rectal Form Indometacin,"Post Graduate Institute of Medical Education and Research, Chandigarh",Not available,INTERVENTIONAL
NCT03625206,Cognitive Bias Modification Training in Adolescents Who Have Experienced Adversity,https://clinicaltrials.gov/study/NCT03625206,Completed,Child Abuse|Child Neglect|Victimization,BEHAVIORAL: Cognitive bias modification training|BEHAVIORAL: Control training,"Institute of Psychiatry, London","Banaras Hindu University|Tribhuvan University, Nepal",INTERVENTIONAL
NCT03616964,A Study of Baricitinib in Participants With Systemic Lupus Erythematosus (SLE-BRAVE II),https://clinicaltrials.gov/study/NCT03616964,Completed,Systemic Lupus Erythematosus,DRUG: Baricitinib|DRUG: Placebo,Eli Lilly and Company,Incyte Corporation,INTERVENTIONAL
NCT03616925,Evaluation of Platelet Rich Fibrin Matrix as Regenerative Material in Intraosseous Defects,https://clinicaltrials.gov/study/NCT03616925,Completed,Regenerative Inflammation,BIOLOGICAL: Platelet Rich Fibrin Matrix kit|PROCEDURE: surgical open flap debridement,KLE Society's Institute of Dental Sciences,Not available,INTERVENTIONAL
NCT03616821,Placebo-Controlled Study of Brazikumab in Participants With Moderately to Severely Active Ulcerative Colitis,https://clinicaltrials.gov/study/NCT03616821,Terminated,Ulcerative Colitis|IBD,DRUG: Brazikumab|DRUG: Placebo,AstraZeneca,Not available,INTERVENTIONAL
NCT03615924,Effect of Ticagrelor vs. Placebo in the Reduction of Vaso-occlusive Crises in Pediatric Patients With Sickle Cell Disease,https://clinicaltrials.gov/study/NCT03615924,Terminated,Sickle Cell Disease,DRUG: Ticagrelor|DRUG: Placebo,AstraZeneca,Iqvia Pty Ltd,INTERVENTIONAL
NCT03615612,"Investigation of the Accuracy of a Low-cost, Portable, Autorefractor to Provide Well-tolerated Eyeglass Prescriptions",https://clinicaltrials.gov/study/NCT03615612,Completed,Refractive Errors,OTHER: QuickSee refractive error assessment + glasses,Johns Hopkins University,"PlenOptika, Inc.|Aravind Eye Care System",INTERVENTIONAL
NCT03614273,Nebulized Hypertonic Saline (3%) Versus Nebulized Adrenaline for Treatment of Bronchiolitis,https://clinicaltrials.gov/study/NCT03614273,Completed,Bronchiolitis,DRUG: Hypertonic saline|DRUG: Adrenaline,Maulana Azad Medical College,Not available,INTERVENTIONAL
NCT03613285,A Comparative CT Evaluation of the Amount of Root Resorption in Self-ligating Versus Conventional Brackets,https://clinicaltrials.gov/study/NCT03613285,Completed,Root Resorption,DEVICE: conventional brackets|DEVICE: smart clip passive self ligating brackets|DEVICE: Empower active self ligating brackets,Institute of Dental Science and Technologies,Not available,INTERVENTIONAL
NCT03610646,Comparative Study to Evaluate the Efficacy and Safety of MYL-1701P and Eylea® in Subjects With Diabetic Macular Edema (DME),https://clinicaltrials.gov/study/NCT03610646,Completed,Diabetic Macular Edema,DRUG: MYL-1701P|DRUG: Eylea,Mylan Pharmaceuticals Inc,"Momenta Pharmaceuticals, Inc.",INTERVENTIONAL
NCT03610594,Effects of Kalaripayattu on Psychological Wellbeing and Behavior in Children,https://clinicaltrials.gov/study/NCT03610594,Unknown,Psychological|Behavior,OTHER: Kalaripayattu,NMP Medical Research Institute,"Warwick Research Services|Swamigal Trust for Vedic Science, India",INTERVENTIONAL
NCT03608033,Study of the Safety and Efficacy of OMS721 in Patients With Immunoglobulin A (IgA) Nephropathy,https://clinicaltrials.gov/study/NCT03608033,Terminated,IgA Nephropathy,BIOLOGICAL: OMS721|OTHER: Vehicle (D5W or saline),Omeros Corporation,Not available,INTERVENTIONAL
NCT03606603,Nutrition Insights Day Asia,https://clinicaltrials.gov/study/NCT03606603,Completed,Nutritional Status|Malnutrition|Caloric Deficit|Protein Deficiency,Not available,Fresenius Kabi,Iqvia Pty Ltd,OBSERVATIONAL
NCT03606564,Parents Perception and Compliance With Pre Operative Fasting Instructions in Paediatric Patients,https://clinicaltrials.gov/study/NCT03606564,Completed,Fasting,OTHER: study of fasting time among pediatric patients undergoing day care surgery,"Post Graduate Institute of Medical Education and Research, Chandigarh",Not available,OBSERVATIONAL
NCT03606408,Roll-over Study in Patients With Endogenous Cushing's Syndrome for LCI699,https://clinicaltrials.gov/study/NCT03606408,Completed,Cushing's Syndrome,DRUG: osilodrostat,RECORDATI GROUP,Not available,INTERVENTIONAL
NCT03604939,Improving Access to Control of Diseases for Women,https://clinicaltrials.gov/study/NCT03604939,Completed,Cardio-vascular Disease|Stroke Cancer|Breast Cancer|Oral Cancer|Cervical Cancer,"DIAGNOSTIC_TEST: Evaluation of social, cultural and behavioral factors|DIAGNOSTIC_TEST: Evaluation of the feasibility and acceptability of delivery of early detections services",International Agency for Research on Cancer,"GBH Cancer Memorial Hospital Udaipur, India",INTERVENTIONAL
NCT03604354,Safety and Efficacy of Pre-emptive Tapentadol vs Pregabalin in Post Operative Pain Following Surgery,https://clinicaltrials.gov/study/NCT03604354,Completed,"Osteoarthritis, Knee",DRUG: Tapentadol 100 MG Oral Tablet|DRUG: Pregabalin 150mg,"All India Institute of Medical Sciences, Bhubaneswar",Not available,INTERVENTIONAL
NCT03604224,"A Study to Observe Clinical Effectiveness of Canagliflozin 300 mg Containing Treatment Regimens in Indian Type 2 Diabetes Participants With BMI>25 kg/m^2, in Real World Clinical Setting",https://clinicaltrials.gov/study/NCT03604224,Completed,"Diabetes Mellitus, Type 2",DRUG: Canagliflozin 300 mg,Johnson & Johnson Private Limited,Not available,OBSERVATIONAL
NCT03603119,Midazolam Versus Dexamethasone-ondansetron in Preventing Postoperative Nausea-vomiting for Laparoscopic Surgeries,https://clinicaltrials.gov/study/NCT03603119,Completed,Postoperative Nausea and Vomiting,"DRUG: Normal saline, Midazolam|DRUG: Dexamethasone, ondansetron","Institute of Liver and Biliary Sciences, India",Not available,INTERVENTIONAL
NCT03599401,Effect of Aspirin Vs Omega 3 Fatty Acid After Scaling and Root Planing in Type II Diabetic Patients With Chronic Periodontitis,https://clinicaltrials.gov/study/NCT03599401,Completed,Periodontitis|Type2 Diabetes,OTHER: Scaling and root planing,Panineeya Mahavidyalaya Institute of Dental Sciences & Research Centre,Not available,INTERVENTIONAL
NCT03598842,Tuberculosis - Learning the Impact of Nutrition,https://clinicaltrials.gov/study/NCT03598842,Completed,Tuberculosis|Malnutrition|Helminth Infection,DIETARY_SUPPLEMENT: Nutritional Supplementation Meal|DIETARY_SUPPLEMENT: Multivitamin|DRUG: Anti-parasitic medications,Boston Medical Center,"Rutgers, The State University of New Jersey|Jawaharlal Institute of Postgraduate Medical Education & Research",INTERVENTIONAL
NCT03597854,Renal Outcome of Acute Kidney Disease,https://clinicaltrials.gov/study/NCT03597854,Unknown,Acute Kidney Disease,Not available,Sanjay Gandhi Postgraduate Institute of Medical Sciences,Not available,OBSERVATIONAL
NCT03591497,Role of Virtual Reality in Improving Balance in Patients With Myelopathy,https://clinicaltrials.gov/study/NCT03591497,Completed,Myelopathy|Virtual Reality,OTHER: Virtual Reality,"National Institute of Mental Health and Neuro Sciences, India",Not available,INTERVENTIONAL
NCT03590626,Effect of Dulaglutide on Liver Fat in Patients With Type 2 Diabetes and Nonalcoholic Fatty Liver Disease,https://clinicaltrials.gov/study/NCT03590626,Completed,Non Alcoholic Fatty Liver Disease|Type2 Diabetes Mellitus,DRUG: Dulaglutide,"Medanta, The Medicity, India",Not available,INTERVENTIONAL
NCT03590197,"Effect of Melatonin on Seizure Outcome, Neuronal Damage and Quality of Life in Patients With Generalized Epilepsy",https://clinicaltrials.gov/study/NCT03590197,Completed,Generalized Epilepsy,DRUG: Melatonin 3 mg|OTHER: Placebo,"All India Institute of Medical Sciences, Bhubaneswar",Not available,INTERVENTIONAL
NCT03587909,FLACS vs Phaco in Shallow Anterior Chamber,https://clinicaltrials.gov/study/NCT03587909,Completed,Cataract Surgery|Shallow Anterior Chamber|Phacoemulsification,PROCEDURE: Phacoemulsification Cataract SUrgery|PROCEDURE: Femtosecond Cataract Surgery,Iladevi Cataract and IOL Research Center,Not available,INTERVENTIONAL
NCT03584087,Efficacy of Terlipressin Therapy in Acute Variceal Haemorrhage After EVL,https://clinicaltrials.gov/study/NCT03584087,Completed,Acute Variceal Haemorrhage,DRUG: Normal Saline|DRUG: Terlipressin,"Post Graduate Institute of Medical Education and Research, Chandigarh",Not available,INTERVENTIONAL
NCT03583944,"A Study to Evaluate Safety, Tolerability and Efficacy of Eribulin Mesylate in Treating Adult Females With Locally Advanced or Metastatic Breast Cancer",https://clinicaltrials.gov/study/NCT03583944,Completed,Breast Neoplasms,DRUG: Eribulin Mesylate,Eisai Inc.,Not available,INTERVENTIONAL
NCT03580993,Lung and Heart USG for Predicting Weaning in Neurosurgical Patients,https://clinicaltrials.gov/study/NCT03580993,Completed,Neurosurgery|Mechanical Ventilation|Extubation,DIAGNOSTIC_TEST: Lung Ultrasound,"National Institute of Mental Health and Neuro Sciences, India",Not available,OBSERVATIONAL
NCT03580369,A Phase III Study of Safety and Efficacy of Ligelizumab in the Treatment of CSU in Adolescents and Adults Inadequately Controlled With H1-antihistamines,https://clinicaltrials.gov/study/NCT03580369,Completed,Chronic Spontaneous Urticaria,BIOLOGICAL: Ligelizumab|BIOLOGICAL: Omalizumab|OTHER: Placebo,Novartis Pharmaceuticals,Not available,INTERVENTIONAL
NCT03580356,A Phase III Study of and Efficacy of Ligelizumab in the Treatment of CSU in Adolescents and Adults Inadequately Controlled With H1-antihistamines.,https://clinicaltrials.gov/study/NCT03580356,Completed,Chronic Spontaneous Urticaria,BIOLOGICAL: Ligelizumab|BIOLOGICAL: Omalizumab|OTHER: Placebo,Novartis Pharmaceuticals,Not available,INTERVENTIONAL
NCT03580044,"Efficacy, Safety, and Tolerability of ATM-AVI in the Treatment of Serious Infection Due to MBL-producing Gram-negative Bacteria",https://clinicaltrials.gov/study/NCT03580044,Terminated,Serious Bacterial Infection,COMBINATION_PRODUCT: ATM-AVI|DRUG: BAT,Pfizer,Allergan,INTERVENTIONAL
NCT03579303,Homoeopathy and Yoga in the Treatment of Menstrual Disorders in Females With Polycystic Ovarian Syndrome,https://clinicaltrials.gov/study/NCT03579303,Unknown,Menstrual Disorders|Polycystic Ovary Syndrome,OTHER: Homoeopathic Remedies,Fr Muller Homoeopathic Medical College,Not available,INTERVENTIONAL
NCT03578744,Comparison of Platelet Rich Fibrin as Graft & Membrane Vs Hyaluronic Acid & Amniotic Membrane in the Treatment of Interradicular Defects,https://clinicaltrials.gov/study/NCT03578744,Completed,Furcation Defects,PROCEDURE: Conventional Flap surgery,Panineeya Mahavidyalaya Institute of Dental Sciences & Research Centre,Not available,INTERVENTIONAL
NCT03578159,Study of Arsha Vidya Chhatralaya Initiative on Health and Functioning of Disadvantaged Tribal Children,https://clinicaltrials.gov/study/NCT03578159,Completed,"Physical Disorder|Mental Health Wellness|Social Function Disorder, Childhood or Adolescent|Malnutrition",OTHER: Chhatralaya,NMP Medical Research Institute,Warwick Research Services|Arsha Vidya Tirtha,OBSERVATIONAL
NCT03576157,Kilkari Impact Evaluation,https://clinicaltrials.gov/study/NCT03576157,Completed,Breast Feeding|Family Planning|Essential Newborn Care|Training of Frontline Health Workers,OTHER: Kilkari,Johns Hopkins Bloomberg School of Public Health,Oxford Policy Management|University of Cape Town,INTERVENTIONAL
NCT03574597,Semaglutide Effects on Heart Disease and Stroke in Patients With Overweight or Obesity,https://clinicaltrials.gov/study/NCT03574597,Completed,Overweight|Obesity,DRUG: Semaglutide|DRUG: Placebo (semaglutide),Novo Nordisk A/S,Not available,INTERVENTIONAL
NCT03573960,A Study to Evaluate the Safety and Efficacy of Lenvatinib in Participants With Refractory Differentiated Thyroid Cancer,https://clinicaltrials.gov/study/NCT03573960,Completed,Thyroid Neoplasms,DRUG: Lenvatinib,Eisai Pharmaceuticals India Pvt. Ltd,Not available,INTERVENTIONAL
NCT03573570,Reducing Anemia Through Food Fortification at Scale,https://clinicaltrials.gov/study/NCT03573570,Withdrawn,Anemia,OTHER: Fortified rice kernels,Stanford University,"Government of Tamil Nadu, India|Global Innovation Fund|National AIDS Research Institute|King Philanthropies",INTERVENTIONAL
NCT03572699,"Simple, Mobile-based Artificial Intelligence AlgoRithms in the Detection of Diabetic ReTinopathy (SMART) Study",https://clinicaltrials.gov/study/NCT03572699,Unknown,Diabetic Retinopathy,OTHER: diabetic retinopathy,Medios Technologies Pte. Ltd,Diacon Hospital,OBSERVATIONAL
NCT03571945,Incidence of Intraoperative Awareness in Indian Patient Population,https://clinicaltrials.gov/study/NCT03571945,Suspended,Intraoperative Awareness,DEVICE: Bi-spectral Index (BIS QUATRO REF #186-0106)|DEVICE: End tidal anaesthesia gas concentration (ETAG),Sir Ganga Ram Hospital,Not available,INTERVENTIONAL
