NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type
NCT04678193,COVID-19 Risk Assessment for Hospitalization Outcomes and Epidemiology Efficacy,https://clinicaltrials.gov/study/NCT04678193,Recruiting,Covid19,DRUG: Coromec Registry with ECL-19,"Aventyn, Inc.",Intel Corporation|Abrazo Health Network|Karolinska Institutet|ASU College of Health Solutions,OBSERVATIONAL
NCT04677179,A Study of LY3471851 in Adult Participants With Moderately to Severely Active Ulcerative Colitis (UC),https://clinicaltrials.gov/study/NCT04677179,Terminated,"Colitis, Ulcerative",DRUG: LY3471851|DRUG: Placebo,Nektar Therapeutics,Eli Lilly and Company,INTERVENTIONAL
NCT04674800,Extension Study of MYL-1701P-3001 for Safety and Efficacy,https://clinicaltrials.gov/study/NCT04674800,Completed,Diabetic Macular Edema,"BIOLOGICAL: MYL-1701P, a proposed biosimilar to Eylea",Mylan Pharmaceuticals Inc,"Momenta Pharmaceuticals, Inc.",INTERVENTIONAL
NCT04672590,COVID-19 Neurological Disease: A Prospective Study,https://clinicaltrials.gov/study/NCT04672590,Completed,Diseases of the Nervous System|Other Specified Viral Diseases,OTHER: Primary exposure is hypoxia (no intervention),University of Liverpool,"Christian Medical College, Vellore, India|Instituto Autoimune, Brazil|University College London Hospitals|Oswaldo Cruz Foundation|Kamuzu University of Health Sciences|National Institute of Mental Health and Neuro Sciences, India|Encephalitis Society, UK",OBSERVATIONAL
NCT04672486,"PRIDE - Pilot Trial of an Online Digital Problem-solving Intervention for School-going Adolescents in Goa, India",https://clinicaltrials.gov/study/NCT04672486,Completed,"Mental Health Issue|Depression, Anxiety|Stress",BEHAVIORAL: POD Adventures,Sangath,Harvard Medical School (HMS and HSDM)|University of Sussex|London School of Hygiene and Tropical Medicine,INTERVENTIONAL
NCT04668404,Study of Coagulation Profile and Role of Heparin Like Effect in Patients With COVID-19,https://clinicaltrials.gov/study/NCT04668404,Unknown,Covid19|Hypercoagulable States Nec,DIAGNOSTIC_TEST: Sonoclot,"Post Graduate Institute of Medical Education and Research, Chandigarh",Not available,OBSERVATIONAL
NCT04667533,Desidustat in the Treatment of Chemotherapy Induced Anemia,https://clinicaltrials.gov/study/NCT04667533,Completed,Anemia of Chronic Kidney Disease|Chemotherapy Effect,DRUG: Desidustat,Zydus Lifesciences Limited,Not available,INTERVENTIONAL
NCT04665570,A Study to Learn More About How Acarbose and Metformin Work When Taken Together and How Safe They Are in Indian Patients Who Were Recently Diagnosed With Type 2 Diabetes (T2D),https://clinicaltrials.gov/study/NCT04665570,Completed,Type 2 Diabetes Mellitus,DRUG: BAY81-9783 (Acarbose/Metformin),Bayer,Not available,OBSERVATIONAL
NCT04665297,A Hybrid Effectiveness/Implementation Trial of the International Guide for Monitoring Child Development,https://clinicaltrials.gov/study/NCT04665297,Active Not Recruiting,Child Development,BEHAVIORAL: International Guide for Monitoring Child Development,Brigham and Women's Hospital,"Mahatma Gandhi Institute of Medical Sciences|Ummeed Child Development Center|Ankara University|Wuqu' Kawoq, Maya Health Alliance|Harvard Medical School (HMS and HSDM)|University of Washington",INTERVENTIONAL
NCT04662931,An Indian Multi-centric Phase IV Study to Assess the Safety of Crizanlizumab in Sickle Cell Disease Patients,https://clinicaltrials.gov/study/NCT04662931,Completed,Sickle Cell Disease (SCD),DRUG: crizanlizumab,Novartis Pharmaceuticals,Not available,INTERVENTIONAL
NCT04662918,Validation of CAGIB Score for In-hospital Mortality of Cirrhotic Patients With Acute Gastrointestinal Bleeding,https://clinicaltrials.gov/study/NCT04662918,Recruiting,GastroIntestinal Bleeding,Not available,Xingshun Qi,Not available,OBSERVATIONAL
NCT04660695,Nasobiliary Drain Assisted EUS-guided Gastroenterostomies in Unresectable Malignant Gastric Outlet Obstruction,https://clinicaltrials.gov/study/NCT04660695,Completed,Gastric Outlet Obstruction|Gastric Cancer|Pancreatic Cancer,DEVICE: EUS-guided gastroenterostomy,Hospital del Rio Hortega,"Hospital General Universitario de Alicante|Clinica Universidad de Navarra, Universidad de Navarra|Complejo Hospitalario de Navarra|Christian Medical College, Vellore, India",OBSERVATIONAL
NCT04659681,Role of Lung Ultrasonography in Detecting Extravascular Lung Water in Major Oncosurgeries,https://clinicaltrials.gov/study/NCT04659681,Completed,Extravascular Lung Water,DIAGNOSTIC_TEST: PVI Guided fluid management during surgery for (PVI<12) colloid bolus will be given .|DIAGNOSTIC_TEST: CVP Guided Fluid management during surgery for CVP<10 cms H2O colloid bolus will be given,"Rajiv Gandhi Cancer Institute & Research Center, India",Not available,INTERVENTIONAL
NCT04658862,A Study of TAR-200 in Combination With Cetrelimab Versus Concurrent Chemoradiotherapy in Participants With Muscle-invasive Bladder Cancer (MIBC) of the Bladder,https://clinicaltrials.gov/study/NCT04658862,Active Not Recruiting,Urinary Bladder Neoplasms,BIOLOGICAL: Cetrelimab|DRUG: TAR-200|DRUG: Cisplatin|DRUG: Gemcitabine|RADIATION: Conventional radiation therapy|RADIATION: Hypo-fractioned radiation therapy,"Janssen Research & Development, LLC",Not available,INTERVENTIONAL
NCT04657484,Comparison of Two Corticosteroid Regimens for Post COVID-19 Diffuse Lung Disease,https://clinicaltrials.gov/study/NCT04657484,Completed,Post COVID-19 Diffuse Lung Disease,DRUG: Medium dose prednisolone|DRUG: Low dose prednisolone,"Post Graduate Institute of Medical Education and Research, Chandigarh",Not available,INTERVENTIONAL
NCT04657003,A Study of Tirzepatide (LY3298176) in Participants With Type 2 Diabetes Who Have Obesity or Are Overweight,https://clinicaltrials.gov/study/NCT04657003,Completed,Type 2 Diabetes|Overweight|Obesity,DRUG: Tirzepatide|OTHER: Placebo,Eli Lilly and Company,Not available,INTERVENTIONAL
NCT04655469,Personal Health Train for Radiation Oncology in India and The Netherlands,https://clinicaltrials.gov/study/NCT04655469,Active Not Recruiting,Head and Neck Carcinoma,Not available,Maastricht Radiation Oncology,Not available,OBSERVATIONAL
NCT04655105,Evaluation of Post Operative Pain Following Reciprocating and Rotary Heat-treated NiTi Instrumentation of Root Canals: a Randomized Controlled Clinical Trial,https://clinicaltrials.gov/study/NCT04655105,Unknown,Root Canal Infection,DEVICE: root canal rotary files,Tamil Nadu Dr.M.G.R.Medical University,Not available,INTERVENTIONAL
